benchmark,seed,shard,caseId,caseIndex,category,variant,taskSuccess,recoveryAttempted,recoverySuccess,modelCalls,duplicateModelCalls,toolEffects,duplicateToolEffects,unknownOutcome,evidenceRequired,evidenceProduced,evidenceCompleteness,latencyMs,inputTokens,outputTokens,costEstimateUsd,failureCodes
GATE-30,20260818,1/1,gate-30-013,12,duplicate-delivery,no-wal,true,false,,3,2,0,0,false,2,2,1,104,1329,423,0.006042,
GATE-30,20260818,1/1,gate-30-014,13,duplicate-delivery,no-wal,true,false,,4,3,0,0,false,2,2,1,123,1180,380,0.0054,
GATE-30,20260818,1/1,gate-30-015,14,duplicate-delivery,no-wal,true,false,,4,3,0,0,false,2,2,1,114,1900,792,0.010136,
GATE-30,20260818,1/1,gate-30-016,15,duplicate-delivery,no-wal,true,false,,3,2,0,0,false,2,2,1,105,1236,630,0.007512,
GATE-30,20260818,1/1,gate-30-017,16,duplicate-delivery,no-wal,true,false,,3,2,0,0,false,2,2,1,108,831,297,0.004038,
GATE-30,20260818,1/1,gate-30-018,17,duplicate-delivery,no-wal,true,false,,2,1,0,0,false,2,2,1,77,752,286,0.003792,
GATE-30,20260818,1/1,gate-30-019,18,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,130,812,274,0.003816,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-020,19,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,120,908,262,0.003912,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-021,20,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,130,954,200,0.003508,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-022,21,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,140,470,300,0.00334,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-023,22,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,129,1034,342,0.004804,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-024,23,side-effect-safety,no-wal,false,true,false,2,1,2,1,true,2,1,0.5,130,956,172,0.003288,duplicate-tool-effect|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-025,24,completion-quality,no-wal,true,false,,1,0,0,0,false,3,3,1,55,482,80,0.001604,
GATE-30,20260818,1/1,gate-30-026,25,completion-quality,no-wal,true,true,true,2,1,0,0,false,4,4,1,88,756,164,0.002824,
GATE-30,20260818,1/1,gate-30-027,26,completion-quality,no-wal,true,false,,1,0,0,0,false,5,5,1,57,329,166,0.001986,
GATE-30,20260818,1/1,gate-30-028,27,completion-quality,no-wal,true,true,true,2,1,0,0,false,3,3,1,77,740,188,0.002984,
GATE-30,20260818,1/1,gate-30-029,28,completion-quality,no-wal,true,false,,1,0,0,0,false,5,5,1,40,502,96,0.001772,
GATE-30,20260818,1/1,gate-30-030,29,completion-quality,no-wal,true,true,true,2,1,0,0,false,3,3,1,103,810,412,0.004916,
GATE-30,20260818,1/1,gate-30-001,0,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,1,0.5,68,386,191,0.0023,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-002,1,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,1,0.5,77,392,124,0.001776,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-003,2,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,0,0,79,399,149,0.00199,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-004,3,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,0,0,84,231,231,0.00231,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-005,4,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,1,0.5,62,402,239,0.002716,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-006,5,crash-recovery,no-recovery,false,true,false,1,0,0,0,false,2,1,0.5,82,255,234,0.002382,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-007,6,parent-child,no-recovery,false,true,false,6,0,0,0,false,2,1,0.5,170,2010,810,0.0105,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-008,7,parent-child,no-recovery,false,true,false,4,0,0,0,false,2,0,0,161,1444,864,0.0098,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-009,8,parent-child,no-recovery,false,true,false,6,0,0,0,false,2,1,0.5,183,2154,678,0.009732,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-010,9,parent-child,no-recovery,false,true,false,4,0,0,0,false,2,1,0.5,146,2032,956,0.011712,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-011,10,parent-child,no-recovery,false,true,false,3,0,0,0,false,2,1,0.5,97,753,483,0.00537,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-012,11,parent-child,no-recovery,false,true,false,3,0,0,0,false,2,1,0.5,111,1284,711,0.008256,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-013,12,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,60,443,141,0.002014,
GATE-30,20260818,1/1,gate-30-014,13,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,66,295,95,0.00135,
GATE-30,20260818,1/1,gate-30-015,14,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,42,475,198,0.002534,
GATE-30,20260818,1/1,gate-30-016,15,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,55,412,210,0.002504,
GATE-30,20260818,1/1,gate-30-017,16,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,70,277,99,0.001346,
GATE-30,20260818,1/1,gate-30-018,17,duplicate-delivery,no-recovery,true,false,,1,0,0,0,false,2,2,1,55,376,143,0.001896,
GATE-30,20260818,1/1,gate-30-019,18,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,81,406,137,0.001908,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-020,19,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,71,454,131,0.001956,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-021,20,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,83,477,100,0.001754,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-022,21,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,90,235,150,0.00167,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-023,22,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,78,517,171,0.002402,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-024,23,side-effect-safety,no-recovery,false,true,false,1,0,1,0,true,2,0,0,83,478,86,0.001644,recovery-disabled|unknown-side-effect-outcome|incomplete-evidence
GATE-30,20260818,1/1,gate-30-025,24,completion-quality,no-recovery,true,false,,1,0,0,0,false,3,3,1,55,482,80,0.001604,
GATE-30,20260818,1/1,gate-30-026,25,completion-quality,no-recovery,false,true,false,1,0,0,0,false,4,1,0.25,52,378,82,0.001412,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-027,26,completion-quality,no-recovery,true,false,,1,0,0,0,false,5,5,1,57,329,166,0.001986,
GATE-30,20260818,1/1,gate-30-028,27,completion-quality,no-recovery,false,true,false,1,0,0,0,false,3,2,0.666667,41,370,94,0.001492,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-029,28,completion-quality,no-recovery,true,false,,1,0,0,0,false,5,5,1,40,502,96,0.001772,
GATE-30,20260818,1/1,gate-30-030,29,completion-quality,no-recovery,false,true,false,1,0,0,0,false,3,1,0.333333,61,405,206,0.002458,recovery-disabled|incomplete-evidence
GATE-30,20260818,1/1,gate-30-001,0,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,85,386,191,0.0023,
GATE-30,20260818,1/1,gate-30-002,1,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,94,392,124,0.001776,
GATE-30,20260818,1/1,gate-30-003,2,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,96,399,149,0.00199,
GATE-30,20260818,1/1,gate-30-004,3,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,101,231,231,0.00231,
GATE-30,20260818,1/1,gate-30-005,4,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,79,402,239,0.002716,
GATE-30,20260818,1/1,gate-30-006,5,crash-recovery,no-lease,true,true,true,1,0,0,0,false,2,2,1,99,255,234,0.002382,
GATE-30,20260818,1/1,gate-30-007,6,parent-child,no-lease,true,true,true,12,6,0,0,false,2,2,1,313,4020,1620,0.021,
GATE-30,20260818,1/1,gate-30-008,7,parent-child,no-lease,true,true,true,8,4,0,0,false,2,2,1,278,2888,1728,0.0196,
GATE-30,20260818,1/1,gate-30-009,8,parent-child,no-lease,true,true,true,12,6,0,0,false,2,2,1,320,4308,1356,0.019464,
GATE-30,20260818,1/1,gate-30-010,9,parent-child,no-lease,true,true,true,8,4,0,0,false,2,2,1,267,4064,1912,0.023424,
GATE-30,20260818,1/1,gate-30-011,10,parent-child,no-lease,true,true,true,6,3,0,0,false,2,2,1,183,1506,966,0.01074,
GATE-30,20260818,1/1,gate-30-012,11,parent-child,no-lease,true,true,true,6,3,0,0,false,2,2,1,206,2568,1422,0.016512,
GATE-30,20260818,1/1,gate-30-013,12,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,60,443,141,0.002014,
GATE-30,20260818,1/1,gate-30-014,13,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,66,295,95,0.00135,
GATE-30,20260818,1/1,gate-30-015,14,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,42,475,198,0.002534,
GATE-30,20260818,1/1,gate-30-016,15,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,55,412,210,0.002504,
GATE-30,20260818,1/1,gate-30-017,16,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,70,277,99,0.001346,
GATE-30,20260818,1/1,gate-30-018,17,duplicate-delivery,no-lease,true,false,,1,0,0,0,false,2,2,1,55,376,143,0.001896,
GATE-30,20260818,1/1,gate-30-019,18,side-effect-safety,no-lease,true,true,true,1,0,1,0,false,2,2,1,98,406,137,0.001908,
GATE-30,20260818,1/1,gate-30-020,19,side-effect-safety,no-lease,false,true,false,2,1,2,1,false,2,2,1,120,908,262,0.003912,duplicate-tool-effect
GATE-30,20260818,1/1,gate-30-021,20,side-effect-safety,no-lease,true,true,true,1,0,1,0,false,2,2,1,100,477,100,0.001754,
GATE-30,20260818,1/1,gate-30-022,21,side-effect-safety,no-lease,false,true,false,2,1,2,1,false,2,2,1,140,470,300,0.00334,duplicate-tool-effect
GATE-30,20260818,1/1,gate-30-023,22,side-effect-safety,no-lease,true,true,true,1,0,1,0,false,2,2,1,95,517,171,0.002402,
GATE-30,20260818,1/1,gate-30-024,23,side-effect-safety,no-lease,false,true,false,2,1,2,1,false,2,2,1,130,956,172,0.003288,duplicate-tool-effect
GATE-30,20260818,1/1,gate-30-025,24,completion-quality,no-lease,true,false,,1,0,0,0,false,3,3,1,55,482,80,0.001604,
GATE-30,20260818,1/1,gate-30-026,25,completion-quality,no-lease,true,true,true,1,0,0,0,false,4,4,1,69,378,82,0.001412,
GATE-30,20260818,1/1,gate-30-027,26,completion-quality,no-lease,true,false,,1,0,0,0,false,5,5,1,57,329,166,0.001986,
GATE-30,20260818,1/1,gate-30-028,27,completion-quality,no-lease,true,true,true,1,0,0,0,false,3,3,1,58,370,94,0.001492,
GATE-30,20260818,1/1,gate-30-029,28,completion-quality,no-lease,true,false,,1,0,0,0,false,5,5,1,40,502,96,0.001772,
GATE-30,20260818,1/1,gate-30-030,29,completion-quality,no-lease,true,true,true,1,0,0,0,false,3,3,1,78,405,206,0.002458,
